match_id,date,stage,group,team,opponent,goals_scored,goals_conceded,result,is_home,venue_country
537335,2026-06-18,GROUP_STAGE,GROUP_B,Switzerland,Bosnia-Herzegovina,4,1,W,True,Unknown
537335,2026-06-18,GROUP_STAGE,GROUP_B,Bosnia-Herzegovina,Switzerland,1,4,L,False,Unknown
537336,2026-06-18,GROUP_STAGE,GROUP_B,Canada,Qatar,6,0,W,True,Unknown
537336,2026-06-18,GROUP_STAGE,GROUP_B,Qatar,Canada,0,6,L,False,Unknown
537330,2026-06-19,GROUP_STAGE,GROUP_A,Mexico,South Korea,1,0,W,True,Unknown
537330,2026-06-19,GROUP_STAGE,GROUP_A,South Korea,Mexico,0,1,L,False,Unknown
537348,2026-06-19,GROUP_STAGE,GROUP_D,United States,Australia,2,0,W,True,Unknown
537348,2026-06-19,GROUP_STAGE,GROUP_D,Australia,United States,0,2,L,False,Unknown
537342,2026-06-19,GROUP_STAGE,GROUP_C,Scotland,Morocco,0,1,L,True,Unknown
537342,2026-06-19,GROUP_STAGE,GROUP_C,Morocco,Scotland,1,0,W,False,Unknown
537341,2026-06-20,GROUP_STAGE,GROUP_C,Brazil,Haiti,3,0,W,True,Unknown
537341,2026-06-20,GROUP_STAGE,GROUP_C,Haiti,Brazil,0,3,L,False,Unknown
537347,2026-06-20,GROUP_STAGE,GROUP_D,Turkey,Paraguay,0,1,L,True,Unknown
537347,2026-06-20,GROUP_STAGE,GROUP_D,Paraguay,Turkey,1,0,W,False,Unknown
537359,2026-06-20,GROUP_STAGE,GROUP_F,Netherlands,Sweden,5,1,W,True,Unknown
537359,2026-06-20,GROUP_STAGE,GROUP_F,Sweden,Netherlands,1,5,L,False,Unknown
537353,2026-06-20,GROUP_STAGE,GROUP_E,Germany,Ivory Coast,2,1,W,True,Unknown
537353,2026-06-20,GROUP_STAGE,GROUP_E,Ivory Coast,Germany,1,2,L,False,Unknown
537354,2026-06-21,GROUP_STAGE,GROUP_E,Ecuador,Curaçao,0,0,D,True,Unknown
537354,2026-06-21,GROUP_STAGE,GROUP_E,Curaçao,Ecuador,0,0,D,False,Unknown
537360,2026-06-21,GROUP_STAGE,GROUP_F,Tunisia,Japan,0,4,L,True,Unknown
537360,2026-06-21,GROUP_STAGE,GROUP_F,Japan,Tunisia,4,0,W,False,Unknown
537371,2026-06-21,GROUP_STAGE,GROUP_H,Spain,Saudi Arabia,4,0,W,True,Unknown
537371,2026-06-21,GROUP_STAGE,GROUP_H,Saudi Arabia,Spain,0,4,L,False,Unknown
537365,2026-06-21,GROUP_STAGE,GROUP_G,Belgium,Iran,0,0,D,True,Unknown
537365,2026-06-21,GROUP_STAGE,GROUP_G,Iran,Belgium,0,0,D,False,Unknown
537372,2026-06-21,GROUP_STAGE,GROUP_H,Uruguay,Cape Verde Islands,2,2,D,True,Unknown
537372,2026-06-21,GROUP_STAGE,GROUP_H,Cape Verde Islands,Uruguay,2,2,D,False,Unknown
537366,2026-06-22,GROUP_STAGE,GROUP_G,New Zealand,Egypt,1,3,L,True,Unknown
537366,2026-06-22,GROUP_STAGE,GROUP_G,Egypt,New Zealand,3,1,W,False,Unknown
537399,2026-06-22,GROUP_STAGE,GROUP_J,Argentina,Austria,2,0,W,True,Unknown
537399,2026-06-22,GROUP_STAGE,GROUP_J,Austria,Argentina,0,2,L,False,Unknown
537393,2026-06-22,GROUP_STAGE,GROUP_I,France,Iraq,3,0,W,True,Unknown
537393,2026-06-22,GROUP_STAGE,GROUP_I,Iraq,France,0,3,L,False,Unknown
537394,2026-06-23,GROUP_STAGE,GROUP_I,Norway,Senegal,3,2,W,True,Unknown
537394,2026-06-23,GROUP_STAGE,GROUP_I,Senegal,Norway,2,3,L,False,Unknown
537400,2026-06-23,GROUP_STAGE,GROUP_J,Jordan,Algeria,1,2,L,True,Unknown
537400,2026-06-23,GROUP_STAGE,GROUP_J,Algeria,Jordan,2,1,W,False,Unknown
537405,2026-06-23,GROUP_STAGE,GROUP_K,Portugal,Uzbekistan,5,0,W,True,Unknown
537405,2026-06-23,GROUP_STAGE,GROUP_K,Uzbekistan,Portugal,0,5,L,False,Unknown
537411,2026-06-23,GROUP_STAGE,GROUP_L,England,Ghana,0,0,D,True,Unknown
537411,2026-06-23,GROUP_STAGE,GROUP_L,Ghana,England,0,0,D,False,Unknown
537412,2026-06-23,GROUP_STAGE,GROUP_L,Panama,Croatia,0,1,L,True,Unknown
537412,2026-06-23,GROUP_STAGE,GROUP_L,Croatia,Panama,1,0,W,False,Unknown
537406,2026-06-24,GROUP_STAGE,GROUP_K,Colombia,Congo DR,1,0,W,True,Unknown
537406,2026-06-24,GROUP_STAGE,GROUP_K,Congo DR,Colombia,0,1,L,False,Unknown
537337,2026-06-24,GROUP_STAGE,GROUP_B,Switzerland,Canada,2,1,W,True,Unknown
537337,2026-06-24,GROUP_STAGE,GROUP_B,Canada,Switzerland,1,2,L,False,Unknown
537338,2026-06-24,GROUP_STAGE,GROUP_B,Bosnia-Herzegovina,Qatar,3,1,W,True,Unknown
537338,2026-06-24,GROUP_STAGE,GROUP_B,Qatar,Bosnia-Herzegovina,1,3,L,False,Unknown
537344,2026-06-24,GROUP_STAGE,GROUP_C,Morocco,Haiti,4,2,W,True,Unknown
537344,2026-06-24,GROUP_STAGE,GROUP_C,Haiti,Morocco,2,4,L,False,Unknown
537343,2026-06-24,GROUP_STAGE,GROUP_C,Scotland,Brazil,0,3,L,True,Unknown
537343,2026-06-24,GROUP_STAGE,GROUP_C,Brazil,Scotland,3,0,W,False,Unknown
537331,2026-06-25,GROUP_STAGE,GROUP_A,Czechia,Mexico,0,3,L,True,Unknown
537331,2026-06-25,GROUP_STAGE,GROUP_A,Mexico,Czechia,3,0,W,False,Unknown
537332,2026-06-25,GROUP_STAGE,GROUP_A,South Africa,South Korea,1,0,W,True,Unknown
537332,2026-06-25,GROUP_STAGE,GROUP_A,South Korea,South Africa,0,1,L,False,Unknown
537355,2026-06-25,GROUP_STAGE,GROUP_E,Ecuador,Germany,2,1,W,True,Unknown
537355,2026-06-25,GROUP_STAGE,GROUP_E,Germany,Ecuador,1,2,L,False,Unknown
537356,2026-06-25,GROUP_STAGE,GROUP_E,Curaçao,Ivory Coast,0,2,L,True,Unknown
537356,2026-06-25,GROUP_STAGE,GROUP_E,Ivory Coast,Curaçao,2,0,W,False,Unknown
537361,2026-06-25,GROUP_STAGE,GROUP_F,Tunisia,Netherlands,1,3,L,True,Unknown
537361,2026-06-25,GROUP_STAGE,GROUP_F,Netherlands,Tunisia,3,1,W,False,Unknown
537362,2026-06-25,GROUP_STAGE,GROUP_F,Japan,Sweden,1,1,D,True,Unknown
537362,2026-06-25,GROUP_STAGE,GROUP_F,Sweden,Japan,1,1,D,False,Unknown
537349,2026-06-26,GROUP_STAGE,GROUP_D,Turkey,United States,3,2,W,True,Unknown
537349,2026-06-26,GROUP_STAGE,GROUP_D,United States,Turkey,2,3,L,False,Unknown
537350,2026-06-26,GROUP_STAGE,GROUP_D,Paraguay,Australia,0,0,D,True,Unknown
537350,2026-06-26,GROUP_STAGE,GROUP_D,Australia,Paraguay,0,0,D,False,Unknown
537395,2026-06-26,GROUP_STAGE,GROUP_I,Norway,France,1,4,L,True,Unknown
537395,2026-06-26,GROUP_STAGE,GROUP_I,France,Norway,4,1,W,False,Unknown
537396,2026-06-26,GROUP_STAGE,GROUP_I,Senegal,Iraq,5,0,W,True,Unknown
537396,2026-06-26,GROUP_STAGE,GROUP_I,Iraq,Senegal,0,5,L,False,Unknown
537373,2026-06-27,GROUP_STAGE,GROUP_H,Uruguay,Spain,0,1,L,True,Unknown
537373,2026-06-27,GROUP_STAGE,GROUP_H,Spain,Uruguay,1,0,W,False,Unknown
537374,2026-06-27,GROUP_STAGE,GROUP_H,Cape Verde Islands,Saudi Arabia,0,0,D,True,Unknown
537374,2026-06-27,GROUP_STAGE,GROUP_H,Saudi Arabia,Cape Verde Islands,0,0,D,False,Unknown
537367,2026-06-27,GROUP_STAGE,GROUP_G,New Zealand,Belgium,1,5,L,True,Unknown
537367,2026-06-27,GROUP_STAGE,GROUP_G,Belgium,New Zealand,5,1,W,False,Unknown
537368,2026-06-27,GROUP_STAGE,GROUP_G,Egypt,Iran,1,1,D,True,Unknown
537368,2026-06-27,GROUP_STAGE,GROUP_G,Iran,Egypt,1,1,D,False,Unknown
537413,2026-06-27,GROUP_STAGE,GROUP_L,Panama,England,0,2,L,True,Unknown
537413,2026-06-27,GROUP_STAGE,GROUP_L,England,Panama,2,0,W,False,Unknown
537414,2026-06-27,GROUP_STAGE,GROUP_L,Croatia,Ghana,2,1,W,True,Unknown
537414,2026-06-27,GROUP_STAGE,GROUP_L,Ghana,Croatia,1,2,L,False,Unknown
537407,2026-06-27,GROUP_STAGE,GROUP_K,Colombia,Portugal,0,0,D,True,Unknown
537407,2026-06-27,GROUP_STAGE,GROUP_K,Portugal,Colombia,0,0,D,False,Unknown
537408,2026-06-27,GROUP_STAGE,GROUP_K,Congo DR,Uzbekistan,3,1,W,True,Unknown
537408,2026-06-27,GROUP_STAGE,GROUP_K,Uzbekistan,Congo DR,1,3,L,False,Unknown
537401,2026-06-28,GROUP_STAGE,GROUP_J,Jordan,Argentina,1,3,L,True,Unknown
537401,2026-06-28,GROUP_STAGE,GROUP_J,Argentina,Jordan,3,1,W,False,Unknown
537402,2026-06-28,GROUP_STAGE,GROUP_J,Algeria,Austria,3,3,D,True,Unknown
537402,2026-06-28,GROUP_STAGE,GROUP_J,Austria,Algeria,3,3,D,False,Unknown
537417,2026-06-28,LAST_32,,South Africa,Canada,0,1,L,True,Unknown
537417,2026-06-28,LAST_32,,Canada,South Africa,1,0,W,False,Unknown
537423,2026-06-29,LAST_32,,Brazil,Japan,2,1,W,True,Unknown
537423,2026-06-29,LAST_32,,Japan,Brazil,1,2,L,False,Unknown
537415,2026-06-29,LAST_32,,Germany,Paraguay,4,5,L,True,Unknown
537415,2026-06-29,LAST_32,,Paraguay,Germany,5,4,W,False,Unknown
537418,2026-06-30,LAST_32,,Netherlands,Morocco,3,4,L,True,Unknown
537418,2026-06-30,LAST_32,,Morocco,Netherlands,4,3,W,False,Unknown
537424,2026-06-30,LAST_32,,Ivory Coast,Norway,1,2,L,True,Unknown
537424,2026-06-30,LAST_32,,Norway,Ivory Coast,2,1,W,False,Unknown
537416,2026-06-30,LAST_32,,France,Sweden,3,0,W,True,Unknown
537416,2026-06-30,LAST_32,,Sweden,France,0,3,L,False,Unknown
537425,2026-07-01,LAST_32,,Mexico,Ecuador,2,0,W,True,Unknown
537425,2026-07-01,LAST_32,,Ecuador,Mexico,0,2,L,False,Unknown
537426,2026-07-01,LAST_32,,England,Congo DR,2,1,W,True,Unknown
537426,2026-07-01,LAST_32,,Congo DR,England,1,2,L,False,Unknown
537422,2026-07-01,LAST_32,,Belgium,Senegal,3,2,W,True,Unknown
537422,2026-07-01,LAST_32,,Senegal,Belgium,2,3,L,False,Unknown
537421,2026-07-02,LAST_32,,United States,Bosnia-Herzegovina,2,0,W,True,Unknown
537421,2026-07-02,LAST_32,,Bosnia-Herzegovina,United States,0,2,L,False,Unknown
537420,2026-07-02,LAST_32,,Spain,Austria,3,0,W,True,Unknown
537420,2026-07-02,LAST_32,,Austria,Spain,0,3,L,False,Unknown
537419,2026-07-02,LAST_32,,Portugal,Croatia,2,1,W,True,Unknown
537419,2026-07-02,LAST_32,,Croatia,Portugal,1,2,L,False,Unknown
537429,2026-07-03,LAST_32,,Switzerland,Algeria,2,0,W,True,Unknown
537429,2026-07-03,LAST_32,,Algeria,Switzerland,0,2,L,False,Unknown
537428,2026-07-03,LAST_32,,Australia,Egypt,3,5,L,True,Unknown
537428,2026-07-03,LAST_32,,Egypt,Australia,5,3,W,False,Unknown
537427,2026-07-03,LAST_32,,Argentina,Cape Verde Islands,3,2,W,True,Unknown
537427,2026-07-03,LAST_32,,Cape Verde Islands,Argentina,2,3,L,False,Unknown
537430,2026-07-04,LAST_32,,Colombia,Ghana,1,0,W,True,Unknown
537430,2026-07-04,LAST_32,,Ghana,Colombia,0,1,L,False,Unknown
537376,2026-07-04,LAST_16,,Canada,Morocco,0,3,L,True,Unknown
537376,2026-07-04,LAST_16,,Morocco,Canada,3,0,W,False,Unknown
537375,2026-07-04,LAST_16,,Paraguay,France,0,1,L,True,Unknown
537375,2026-07-04,LAST_16,,France,Paraguay,1,0,W,False,Unknown
537377,2026-07-05,LAST_16,,Brazil,Norway,1,2,L,True,Unknown
537377,2026-07-05,LAST_16,,Norway,Brazil,2,1,W,False,Unknown
537378,2026-07-06,LAST_16,,Mexico,England,2,3,L,True,Unknown
537378,2026-07-06,LAST_16,,England,Mexico,3,2,W,False,Unknown
537379,2026-07-06,LAST_16,,Portugal,Spain,0,1,L,True,Unknown
537379,2026-07-06,LAST_16,,Spain,Portugal,1,0,W,False,Unknown
537380,2026-07-07,LAST_16,,United States,Belgium,1,4,L,True,Unknown
537380,2026-07-07,LAST_16,,Belgium,United States,4,1,W,False,Unknown
537381,2026-07-07,LAST_16,,Argentina,Egypt,3,2,W,True,Unknown
537381,2026-07-07,LAST_16,,Egypt,Argentina,2,3,L,False,Unknown
537382,2026-07-07,LAST_16,,Switzerland,Colombia,4,3,W,True,Unknown
537382,2026-07-07,LAST_16,,Colombia,Switzerland,3,4,L,False,Unknown
537383,2026-07-09,QUARTER_FINALS,,France,Morocco,2,0,W,True,Unknown
537383,2026-07-09,QUARTER_FINALS,,Morocco,France,0,2,L,False,Unknown
537384,2026-07-10,QUARTER_FINALS,,Spain,Belgium,2,1,W,True,Unknown
537384,2026-07-10,QUARTER_FINALS,,Belgium,Spain,1,2,L,False,Unknown
537385,2026-07-11,QUARTER_FINALS,,Norway,England,1,2,L,True,Unknown
537385,2026-07-11,QUARTER_FINALS,,England,Norway,2,1,W,False,Unknown
537386,2026-07-12,QUARTER_FINALS,,Argentina,Switzerland,3,1,W,True,Unknown
537386,2026-07-12,QUARTER_FINALS,,Switzerland,Argentina,1,3,L,False,Unknown
537387,2026-07-14,SEMI_FINALS,,France,Spain,0,2,L,True,Unknown
537387,2026-07-14,SEMI_FINALS,,Spain,France,2,0,W,False,Unknown
537388,2026-07-15,SEMI_FINALS,,England,Argentina,1,2,L,True,Unknown
537388,2026-07-15,SEMI_FINALS,,Argentina,England,2,1,W,False,Unknown
537389,2026-07-18,THIRD_PLACE,,France,England,4,6,L,True,Unknown
537389,2026-07-18,THIRD_PLACE,,England,France,6,4,W,False,Unknown
537390,2026-07-19,FINAL,,Spain,Argentina,1,0,W,True,Unknown
537390,2026-07-19,FINAL,,Argentina,Spain,0,1,L,False,Unknown
