player,team,location,shot_statsbomb_xg,shot_outcome,shot_technique,shot_body_part,minute,match_id
Noussair Mazraoui,Morocco,"[115.3, 29.2]",0.07962643,Saved,Diving Header,Head,50,3857277
Dejan Lovren,Croatia,"[112.7, 38.8]",0.2503287,Blocked,Normal,Left Foot,51,3857277
Achraf Hakimi Mouh,Morocco,"[88.5, 31.5]",0.019376563,Saved,Normal,Right Foot,64,3857277
Neco Williams,Wales,"[99.5, 23.0]",0.023614733,Off T,Normal,Right Foot,2,3857273
Sardar Azmoun,Iran,"[97.2, 31.2]",0.035244513,Saved,Normal,Right Foot,6,3857273
Kieffer Roberto Francisco Moore,Wales,"[111.6, 44.5]",0.12850787,Saved,Volley,Right Foot,11,3857273
Ahmad Nourollahi,Iran,"[95.5, 34.0]",0.017788952,Blocked,Normal,Right Foot,19,3857273
Sardar Azmoun,Iran,"[109.6, 34.7]",0.07202582,Off T,Normal,Head,22,3857273
Gareth Frank Bale,Wales,"[88.9, 36.5]",0.02170084,Saved,Volley,Left Foot,28,3857273
Harry Wilson,Wales,"[105.5, 25.4]",0.030164797,Blocked,Normal,Left Foot,41,3857273
Mehdi Taremi,Iran,"[105.7, 38.8]",0.08566745,Wayward,Normal,Left Foot,48,3857273
Ahmad Nourollahi,Iran,"[86.4, 48.2]",0.011584845,Saved,Half Volley,Right Foot,49,3857273
Sardar Azmoun,Iran,"[110.0, 49.7]",0.28799564,Post,Normal,Right Foot,50,3857273
Ali Gholizadeh,Iran,"[97.2, 48.0]",0.04282673,Post,Normal,Left Foot,51,3857273
Sardar Azmoun,Iran,"[111.0, 36.2]",0.21401532,Saved,Normal,Head,51,3857273
Kieffer Roberto Francisco Moore,Wales,"[114.4, 39.9]",0.22100283,Off T,Normal,Head,52,3857273
Ehsan Hajsafi,Iran,"[104.6, 33.1]",0.068153165,Blocked,Half Volley,Left Foot,55,3857273
Mehdi Taremi,Iran,"[107.1, 29.4]",0.075855605,Blocked,Normal,Right Foot,63,3857273
Ahmad Nourollahi,Iran,"[90.5, 45.6]",0.015279148,Blocked,Normal,Right Foot,69,3857273
Morteza Pouraliganji,Iran,"[100.8, 38.5]",0.05160931,Blocked,Half Volley,Left Foot,71,3857273
Saeid Ezatolahi Afagh,Iran,"[99.5, 49.3]",0.047915842,Saved,Normal,Right Foot,72,3857273
Ahmad Nourollahi,Iran,"[85.8, 53.5]",0.0072957636,Blocked,Normal,Right Foot,74,3857273
Aaron Ramsey,Wales,"[104.0, 53.9]",0.025361432,Wayward,Volley,Right Foot,82,3857273
Neco Williams,Wales,"[98.6, 51.1]",0.031851415,Blocked,Normal,Right Foot,82,3857273
Ben Davies,Wales,"[101.7, 30.8]",0.053537875,Saved,Normal,Left Foot,82,3857273
Karim Ansarifard,Iran,"[99.5, 36.2]",0.06399969,Blocked,Normal,Right Foot,87,3857273
Mehdi Torabi,Iran,"[99.1, 39.0]",0.051057886,Off T,Normal,Right Foot,87,3857273
Neco Williams,Wales,"[89.9, 45.0]",0.020104993,Wayward,Normal,Right Foot,95,3857273
Brennan Johnson,Wales,"[114.4, 52.4]",0.059788406,Saved Off Target,Half Volley,Right Foot,95,3857273
Ramin Rezaeian,Iran,"[98.3, 52.1]",0.031046849,Blocked,Normal,Right Foot,95,3857273
Alireza Jahanbakhsh,Iran,"[99.2, 46.5]",0.031239294,Blocked,Normal,Right Foot,96,3857273
Alireza Jahanbakhsh,Iran,"[91.4, 24.9]",0.011336825,Blocked,Normal,Right Foot,97,3857273
Roozbeh Cheshmi,Iran,"[95.1, 37.5]",0.03268815,Goal,Normal,Right Foot,97,3857273
Ramin Rezaeian,Iran,"[104.8, 45.3]",0.19933115,Goal,Lob,Right Foot,100,3857273
Kingsley Coman,France,"[112.3, 29.9]",0.08786314,Off T,Normal,Left Foot,24,3857275
Anis Ben Slimane,Tunisia,"[110.9, 41.0]",0.1007914,Saved,Normal,Head,29,3857275
Wahbi Khazri,Tunisia,"[95.1, 52.3]",0.016592033,Saved,Half Volley,Left Foot,34,3857275
Youssouf Fofana,France,"[99.9, 53.4]",0.041162748,Blocked,Normal,Right Foot,46,3857275
Wahbi Khazri,Tunisia,"[97.9, 19.8]",0.010898009,Off T,Normal,Right Foot,46,3857275
Aïssa Bilal Laïdouni,Tunisia,"[114.8, 22.4]",0.013856714,Off T,Normal,Right Foot,51,3857275
Wahbi Khazri,Tunisia,"[103.3, 37.8]",0.15620883,Goal,Normal,Left Foot,57,3857275
Axel Disasi,France,"[111.3, 41.5]",0.061025612,Blocked,Normal,Head,79,3857275
Adrien Rabiot,France,"[113.8, 47.7]",0.080746524,Wayward,Volley,Right Foot,81,3857275
Ousmane Dembélé,France,"[95.9, 53.5]",0.020325886,Saved,Normal,Right Foot,81,3857275
Adrien Rabiot,France,"[108.7, 29.1]",0.06369618,Wayward,Volley,Left Foot,84,3857275
Kylian Mbappé Lottin,France,"[116.8, 24.7]",0.01194291,Saved,Normal,Right Foot,88,3857275
Randal Kolo Muani,France,"[96.4, 37.1]",0.041042205,Blocked,Normal,Right Foot,89,3857275
Kylian Mbappé Lottin,France,"[95.6, 30.2]",0.06416701,Blocked,Normal,Right Foot,92,3857275
Kylian Mbappé Lottin,France,"[87.6, 15.0]",0.005017159,Saved,Normal,Right Foot,92,3857275
Marcus Rashford,England,"[104.0, 39.5]",0.28441095,Saved,Normal,Right Foot,9,3857261
Phil Foden,England,"[97.4, 54.6]",0.02354375,Off T,Normal,Left Foot,14,3857261
Harry Maguire,England,"[120.0, 54.6]",0.01084097,Off T,Normal,Head,17,3857261
Marcus Rashford,England,"[98.2, 19.5]",0.010357286,Blocked,Normal,Right Foot,23,3857261
Phil Foden,England,"[105.5, 47.4]",0.05725451,Off T,Normal,Left Foot,37,3857261
Joe Allen,Wales,"[94.1, 47.0]",0.022615774,Blocked,Normal,Right Foot,38,3857261
Marcus Rashford,England,"[108.4, 35.0]",0.081256144,Off T,Overhead Kick,Right Foot,38,3857261
Harry Kane,England,"[101.5, 35.7]",0.028181294,Blocked,Normal,Left Foot,43,3857261
Harry Kane,England,"[101.2, 27.6]",0.030065771,Blocked,Normal,Right Foot,47,3857261
John Stones,England,"[112.8, 55.4]",0.006450981,Saved,Normal,Head,47,3857261
Joe Allen,Wales,"[100.7, 51.3]",0.04109325,Off T,Normal,Left Foot,49,3857261
Marcus Rashford,England,"[96.1, 29.3]",0.05780817,Goal,Normal,Right Foot,49,3857261
Phil Foden,England,"[114.5, 34.1]",0.44030064,Goal,Normal,Left Foot,50,3857261
Kieffer Roberto Francisco Moore,Wales,"[90.1, 22.3]",0.00753591,Saved,Normal,Right Foot,55,3857261
Marcus Rashford,England,"[109.9, 50.3]",0.096602984,Goal,Normal,Left Foot,67,3857261
Marcus Rashford,England,"[110.3, 52.4]",0.13184288,Saved,Normal,Right Foot,71,3857261
Brennan Johnson,Wales,"[104.5, 57.3]",0.02192258,Blocked,Normal,Right Foot,72,3857261
Jude Bellingham,England,"[104.3, 32.8]",0.25030845,Saved,Normal,Right Foot,76,3857261
Jude Bellingham,England,"[112.7, 29.3]",0.24362406,Wayward,Normal,Left Foot,76,3857261
Phil Foden,England,"[116.1, 39.5]",0.6100251,Off T,Half Volley,Left Foot,76,3857261
Harry Wilson,Wales,"[92.6, 52.6]",0.031328887,Blocked,Normal,Left Foot,82,3857261
Rubin Colwill,Wales,"[98.3, 26.1]",0.025066664,Off T,Normal,Right Foot,83,3857261
Kieffer Roberto Francisco Moore,Wales,"[102.1, 34.6]",0.058446433,Off T,Normal,Right Foot,86,3857261
John Stones,England,"[114.4, 43.9]",0.45507616,Post,Half Volley,Left Foot,90,3857261
Phil Foden,England,"[111.0, 48.5]",0.09753507,Blocked,Normal,Left Foot,93,3857261
